,City,State,share_white,share_black,poverty_rate,income,protest_rate
770,Kent,OH,83.1,9.6,35.1,35619.0,0.00883761721648789
771,Kettering,OH,92.6,3.3,12.3,50608.0,0.0036459757542612334
772,Kettering,OH,92.6,3.3,12.3,50608.0,0.4338394793926248
773,Kettering,OH,92.6,3.3,12.3,50608.0,0.0036768761260433133
774,Marietta,OH,94.9,1.3,26.1,32455.0,0.07487271638215033
775,Mason,OH,85.1,3.3,2.9,86994.0,0.01771479185119575
776,Medina,OH,93.3,3.1,12.5,55370.0,0.012521189705655723
777,Miamisburg,OH,93.8,3.0,13.5,53582.0,0.0011914809114828974
778,Middle,OH,83.3,11.7,24.9,36374.0,0.0004917327432540415
779,Middle,OH,83.3,11.7,24.9,36374.0,0.0005211613211439491
780,MountVernon,OH,95.3,1.1,21.2,36470.0,0.021865744329814942
781,NewPhiladelphia,OH,94.0,1.2,17.0,40718.0,0.011487650775416428
782,Oakwood,OH,95.3,0.9,3.4,105195.0,0.0033572068039391225
783,Ontario,OH,90.8,4.0,7.2,52975.0,0.01643655489809336
784,Painesville,OH,68.2,13.1,23.0,33210.0,0.007542995071909886
785,Ravenna,OH,91.1,5.6,22.3,36301.0,0.003520816829504445
786,Sandusky,OH,70.4,22.0,22.1,33786.0,0.06106497313141183
787,ShakerHeights,OH,55.0,37.1,8.6,77739.0,0.0074000074000074
788,Springfield,OH,75.2,18.1,29.0,32066.0,0.0007133515634288433
789,Toledo,OH,64.8,27.2,27.8,33687.0,0.0007331942708199679
790,Trotwood,OH,28.1,68.2,27.1,32563.0,0.04097856820882678
791,Troy,OH,90.1,4.2,14.1,45222.0,0.007610060499980975
792,Warren,OH,67.7,27.7,35.0,29376.0,0.02580511973575557
793,Wooster,OH,91.2,3.6,19.6,40896.0,0.002378486693103652
794,Youngs,OH,47.0,45.2,38.3,24133.0,0.009928363042050435
795,Altus,OK,68.6,9.6,17.7,38083.0,0.005453157378121932
