,City,State,share_white,share_black,poverty_rate,income,protest_rate
1047,Appleton,WI,87.5,1.7,11.9,53588.0,0.016262013562519308
1048,Appleton,WI,87.5,1.7,11.9,53588.0,0.5955926146515783
1049,Ashland,WI,87.0,0.5,13.5,38882.0,0.019125334693357133
1050,Ashland,WI,87.0,0.5,13.5,38882.0,0.2581755593803787
1051,GreenBay,WI,77.9,3.5,18.2,42826.0,0.0036017773017906892
1052,GreenBay,WI,77.9,3.5,18.2,42826.0,0.1726245035135961
1053,Hayward,WI,83.3,0.4,22.8,30074.0,0.03894418000865426
1054,Hayward,WI,83.3,0.4,22.8,30074.0,0.02535211267605634
1055,Kiel,WI,96.9,0.4,5.3,52439.0,0.026343519494204427
1056,Kiel,WI,96.9,0.4,5.3,52439.0,0.3154574132492113
1057,Kiel,WI,96.9,0.4,5.3,52439.0,0.028743891922966367
1058,Madison,WI,78.9,7.3,19.0,54896.0,0.0070599712466625575
1059,Madison,WI,78.9,7.3,19.0,54896.0,0.2667442649983025
1060,Marinette,WI,96.9,0.3,18.9,35954.0,0.0189771325552709
1061,Menomonie,WI,91.9,0.8,28.9,36039.0,0.0030209655005739838
1062,Menomonie,WI,91.9,0.8,28.9,36039.0,0.0141643059490085
1063,Milwaukee,WI,44.8,40.0,28.7,35958.0,0.002104766794501899
1064,Oconomowoc,WI,96.0,0.5,5.5,70600.0,0.011777869383428535
1065,Oconomowoc,WI,96.0,0.5,5.5,70600.0,0.02295684113865932
1066,Sheboygan,WI,82.5,1.8,14.2,43381.0,0.0020848535390388823
1067,Sheboygan,WI,82.5,1.8,14.2,43381.0,0.012906556530717605
1068,StevensPoint,WI,91.7,0.9,25.8,41312.0,0.03863987635239567
1069,SunPrairie,WI,85.4,6.1,8.6,66177.0,0.005770173970745218
1070,SunPrairie,WI,85.4,6.1,8.6,66177.0,0.08133387555917039
1071,Viroqua,WI,97.1,0.6,10.4,37477.0,0.056792367105860976
1072,Viroqua,WI,97.1,0.6,10.4,37477.0,0.13601741022850924
1073,Waukesha,WI,88.1,2.3,11.3,59547.0,0.002627975490670687
1074,Waukesha,WI,88.1,2.3,11.3,59547.0,0.021350713563321726
1075,Waupaca,WI,96.6,0.9,11.5,41897.0,0.016753224995811694
1076,Waupaca,WI,96.6,0.9,11.5,41897.0,0.08525149190110827
1077,Wausau,WI,83.7,1.4,16.6,41575.0,0.0038899406135733
1078,Wausau,WI,83.7,1.4,16.6,41575.0,0.06790402897238569
1079,Charleston,WV,78.4,15.5,19.6,48442.0,0.006446621970087674
1080,Huntington,WV,86.9,8.6,29.8,29873.0,0.004433606739082243
1081,Logan,WV,91.6,5.2,29.8,29712.0,0.020408163265306117
1082,Martinsburg,WV,77.5,14.9,29.0,37843.0,0.005729345708720064
1083,Morgan,WV,89.7,4.1,34.1,34090.0,0.0009820288716488263
1084,Laramie,WY,89.5,1.3,30.0,39371.0,0.0007336981443551099
1085,Riverton,WY,83.5,0.5,15.8,46222.0,0.00928332714444857
1086,Sheridan,WY,94.9,0.4,10.2,49154.0,0.011148272017837236
1087,Torrington,WY,93.2,1.0,20.9,40911.0,0.0080012077294686
